Parameter,Units,ShortName,LogScale
"Ammonia-nitrogen, Dissolved",mg/L,"NH4, Dissolved",TRUE
"Ammonia-nitrogen, Total",mg/L,"NH4, Total",TRUE
Chemical oxygen demand,mg/L,COD,FALSE
"Chlorophyll a, uncorrected for pheophytin",ug/L,"Chl a, uncorrected",TRUE
"Depth, Secchi disk depth",m,Secchi Depth,FALSE
"Depth, bottom",ft,Total Depth,FALSE
Dissolved oxygen (DO),mg/L,DO conc,FALSE
Dissolved oxygen saturation,%,DO saturation,FALSE
"Kjeldahl nitrogen, Total",mg/L,TKN,TRUE
"Nitrate + Nitrite, Total",mg/L,"NOx, Total",TRUE
"Nitrate, Dissolved",mg/L,"NO3, Dissolved",TRUE
"Nitrite, Dissolved",mg/L,"NO2, Dissolved",TRUE
"Orthophosphate, Dissolved",mg/L,"PO4, Dissolved",TRUE
"Phosphorus, Total",mg/L,TP,TRUE
Salinity,ppt,Salinity,FALSE
Specific conductance,umho/cm,SpCond,FALSE
"Temperature, water",deg C,Water Temp,FALSE
"Total suspended solids, Suspended",mg/L,TSS,FALSE
Turbidity,NTU,Turbidity,TRUE
pH,,pH,FALSE
