"Parameter","Units"
"Ammonia-nitrogen, Dissolved","mg/L"
"Ammonia-nitrogen, Total","mg/L"
"Chemical oxygen demand","mg/L"
"Chlorophyll a, uncorrected for pheophytin","ug/L"
"Depth, Secchi disk depth","m"
"Depth, bottom","ft"
"Dissolved oxygen (DO)","mg/L"
"Dissolved oxygen saturation","%"
"Kjeldahl nitrogen, Total","mg/L"
"Nitrate + Nitrite, Total","mg/L"
"Nitrate, Dissolved","mg/L"
"Nitrite, Dissolved","mg/L"
"Orthophosphate, Dissolved","mg/L"
"Phosphorus, Total","mg/L"
"Salinity","ppt"
"Specific conductance","umho/cm"
"Temperature, water","deg C"
"Total suspended solids, Suspended","mg/L"
"Turbidity","NTU"
"pH","None"
